data_type,study_name_common,study_name_rare,trait_common,trait_rare
protein,UKB-PPP-european-FGD3:Q5JSP0:OID31040:v1,ukb-wes-az-00012051,UKB-PPP european FGD3,FGD3 Q5JSP0 OID31040 v1 NeurologyII
protein,UKB-PPP-european-NINJ1:Q92982:OID21167:v1,ukb-wes-az-00012983,UKB-PPP european NINJ1,NINJ1 Q92982 OID21167 v1 Oncology
protein,UKB-PPP-european-FBP1:P09467:OID20227:v1,ukb-wes-az-00012027,UKB-PPP european FBP1,FBP1 P09467 OID20227 v1 Cardiometabolic
protein,UKB-PPP-european-HSD17B3:P37058:OID30145:v1,ukb-wes-az-00012348,UKB-PPP european HSD17B3,HSD17B3 P37058 OID30145 v1 CardiometabolicII
protein,UKB-PPP-european-CTSV:O60911:OID21405:v1,ukb-wes-az-00014656,UKB-PPP european CTSV,CTSV O60911 OID21405 v1 Oncology
protein,UKB-PPP-european-COL15A1:P39059:OID30396:v1,ukb-wes-az-00014538,UKB-PPP european COL15A1,COL15A1 P39059 OID30396 v1 CardiometabolicII
protein,UKB-PPP-european-TGFBR1:P36897:OID30502:v1,ukb-wes-az-00013873,UKB-PPP european TGFBR1,TGFBR1 P36897 OID30502 v1 InflammationII
protein,UKB-PPP-european-ERP44:Q9BS26:OID21338:v1,ukb-wes-az-00014917,UKB-PPP european ERP44,ERP44 Q9BS26 OID21338 v1 Oncology
protein,UKB-PPP-european-RAD23B:P54727:OID21166:v1,ukb-wes-az-00013394,UKB-PPP european RAD23B,RAD23B P54727 OID21166 v1 Oncology
protein,UKB-PPP-european-KLF4:O43474:OID30808:v1,ukb-wes-az-00012587,UKB-PPP european KLF4,KLF4 O43474 OID30808 v1 NeurologyII
protein,UKB-PPP-european-PALM2:Q8IXS6:OID31096:v1,,UKB-PPP european PALM2AKAP2,
protein,UKB-PPP-european-TXN:P10599:OID30670:v1,ukb-wes-az-00014035,UKB-PPP european TXN,TXN P10599 OID30670 v1 InflammationII
protein,UKB-PPP-european-PTGR1:Q14914:OID30297:v1,ukb-wes-az-00013340,UKB-PPP european PTGR1,PTGR1 Q14914 OID30297 v1 CardiometabolicII
protein,UKB-PPP-european-SUSD1:Q6UWL2:OID20072:v1,ukb-wes-az-00013806,UKB-PPP european SUSD1,SUSD1 Q6UWL2 OID20072 v1 Cardiometabolic
protein,UKB-PPP-european-HSDL2:Q6YN16:OID30256:v1,ukb-wes-az-00012349,UKB-PPP european HSDL2,HSDL2 Q6YN16 OID30256 v1 CardiometabolicII
protein,UKB-PPP-european-CDC26:Q8NHZ8:OID31508:v1,ukb-wes-az-00014373,UKB-PPP european CDC26,CDC26 Q8NHZ8 OID31508 v1 OncologyII
protein,UKB-PPP-european-AMBP:P02760:OID21413:v1,ukb-wes-az-00012069,UKB-PPP european AMBP,AMBP P02760 OID21413 v1 Oncology
protein,UKB-PPP-european-ORM1:P02763:OID30768:v1,ukb-wes-az-00013072,UKB-PPP european ORM1,ORM1 P02763 OID30768 v1 InflammationII
protein,UKB-PPP-european-ATP6V1G1:O75348:OID30242:v1,ukb-wes-az-00013289,UKB-PPP european ATP6V1G1,ATP6V1G1 O75348 OID30242 v1 CardiometabolicII
protein,UKB-PPP-european-TNFSF8:P32971:OID30384:v1,ukb-wes-az-00013962,UKB-PPP european TNFSF8,TNFSF8 P32971 OID30384 v1 CardiometabolicII
protein,UKB-PPP-european-TNC:P24821:OID20359:v1,ukb-wes-az-00013927,UKB-PPP european TNC,TNC P24821 OID20359 v1 Cardiometabolic
protein,UKB-PPP-european-PAPPA:Q13219:OID20421:v1,ukb-wes-az-00013103,UKB-PPP european PAPPA,PAPPA Q13219 OID20421 v1 Inflammation
protein,UKB-PPP-european-TLR4:O00206:OID30428:v1,ukb-wes-az-00013909,UKB-PPP european TLR4,TLR4 O00206 OID30428 v1 InflammationII
protein,UKB-PPP-european-MEGF9:Q9H1U4:OID20285:v1,ukb-wes-az-00012801,UKB-PPP european MEGF9,MEGF9 Q9H1U4 OID20285 v1 Cardiometabolic
protein,UKB-PPP-european-PSMD5:Q16401:OID30918:v1,ukb-wes-az-00013327,UKB-PPP european PSMD5,PSMD5 Q16401 OID30918 v1 NeurologyII
protein,UKB-PPP-european-C5:P01031:OID30744:v1,ukb-wes-az-00014193,UKB-PPP european C5,C5 P01031 OID30744 v1 InflammationII
protein,UKB-PPP-european-GSN:P06396:OID30714:v1,ukb-wes-az-00012264,UKB-PPP european GSN,GSN P06396 OID30714 v1 InflammationII
protein,UKB-PPP-european-RABEPK:Q7Z6M1:OID21163:v1,ukb-wes-az-00013391,UKB-PPP european RABEPK,RABEPK Q7Z6M1 OID21163 v1 Oncology
protein,UKB-PPP-european-ANGPTL2:Q9UKU9:OID20726:v1,ukb-wes-az-00012247,UKB-PPP european ANGPTL2,ANGPTL2 Q9UKU9 OID20726 v1 Inflammation
protein,UKB-PPP-european-STXBP1:P61764:OID31054:v1,ukb-wes-az-00013795,UKB-PPP european STXBP1,STXBP1 P61764 OID31054 v1 NeurologyII
protein,UKB-PPP-european-ENG:P17813:OID20287:v1,ukb-wes-az-00014871,UKB-PPP european ENG,ENG P17813 OID20287 v1 Cardiometabolic
protein,UKB-PPP-european-AK1:P00568:OID20122:v1,ukb-wes-az-00014799,UKB-PPP european AK1,AK1 P00568 OID20122 v1 Cardiometabolic
protein,UKB-PPP-european-PTGES2:Q9H7Z7:OID30561:v1,ukb-wes-az-00013339,UKB-PPP european PTGES2,PTGES2 Q9H7Z7 OID30561 v1 InflammationII
protein,UKB-PPP-european-LCN2:P80188:OID20392:v1,ukb-wes-az-00012645,UKB-PPP european LCN2,LCN2 P80188 OID20392 v1 Cardiometabolic
protein,UKB-PPP-european-DNM1:Q05193:OID31458:v1,ukb-wes-az-00014774,UKB-PPP european DNM1,DNM1 Q05193 OID31458 v1 OncologyII
protein,UKB-PPP-european-SLC27A4:Q6P1M0:OID20814:v1,ukb-wes-az-00013662,UKB-PPP european SLC27A4,SLC27A4 Q6P1M0 OID20814 v1 Neurology
protein,UKB-PPP-european-PKN3:Q6P5Z2:OID31311:v1,ukb-wes-az-00013199,UKB-PPP european PKN3,PKN3 Q6P5Z2 OID31311 v1 OncologyII
protein,UKB-PPP-european-KYAT1:Q16773:OID20232:v1,ukb-wes-az-00012616,UKB-PPP european KYAT1,KYAT1 Q16773 OID20232 v1 Cardiometabolic
protein,UKB-PPP-european-SH3GLB2:Q9NR46:OID31145:v1,ukb-wes-az-00013622,UKB-PPP european SH3GLB2,SH3GLB2 Q9NR46 OID31145 v1 NeurologyII
protein,UKB-PPP-european-NCS1:P62166:OID21458:v1,ukb-wes-az-00012941,UKB-PPP european NCS1,NCS1 P62166 OID21458 v1 Oncology
protein,UKB-PPP-european-HMCN2:Q8NDA2:OID30592:v1,ukb-wes-az-00012321,UKB-PPP european HMCN2,HMCN2 Q8NDA2 OID30592 v1 InflammationII
protein,UKB-PPP-european-ASS1:P00966:OID30170:v1,ukb-wes-az-00013099,UKB-PPP european ASS1,ASS1 P00966 OID30170 v1 CardiometabolicII
protein,UKB-PPP-european-ABL1:P00519:OID21280:v1,ukb-wes-az-00014619,UKB-PPP european ABL1,ABL1 P00519 OID21280 v1 Oncology
protein,UKB-PPP-european-AIF1L:Q9BQI0:OID30204:v1,ukb-wes-az-00014777,UKB-PPP european AIF1L,AIF1L Q9BQI0 OID30204 v1 CardiometabolicII
protein,UKB-PPP-european-TSC1:Q92574:OID30478:v1,ukb-wes-az-00014014,UKB-PPP european TSC1,TSC1 Q92574 OID30478 v1 InflammationII
protein,UKB-PPP-european-OBP2B:Q9NPH6:OID20980:v1,ukb-wes-az-00013054,UKB-PPP european OBP2B,OBP2B Q9NPH6 OID20980 v1 Neurology
protein,UKB-PPP-european-ABO:P16442:OID30675:v1,ukb-wes-az-00014733,UKB-PPP european ABO,ABO P16442 OID30675 v1 InflammationII
protein,UKB-PPP-european-ADAMTS13:Q76LX8:OID20249:v1,ukb-wes-az-00014297,UKB-PPP european ADAMTS13,ADAMTS13 Q76LX8 OID20249 v1 Cardiometabolic
protein,UKB-PPP-european-ADAMTSL2:Q86TH1:OID30370:v1,ukb-wes-az-00014352,UKB-PPP european ADAMTSL2,ADAMTSL2 Q86TH1 OID30370 v1 CardiometabolicII
protein,UKB-PPP-european-DBH:P09172:OID30703:v1,ukb-wes-az-00014693,UKB-PPP european DBH,DBH P09172 OID30703 v1 InflammationII
protein,UKB-PPP-european-BRD3:Q15059:OID30093:v1,ukb-wes-az-00014072,UKB-PPP european BRD3,BRD3 Q15059 OID30093 v1 CardiometabolicII
protein,UKB-PPP-european-COL5A1:P20908:OID30587:v1,ukb-wes-az-00014548,UKB-PPP european COL5A1,COL5A1 P20908 OID30587 v1 InflammationII
protein,UKB-PPP-european-FCN2:Q15485:OID20382:v1,ukb-wes-az-00012037,UKB-PPP european FCN2,FCN2 Q15485 OID20382 v1 Cardiometabolic
protein,UKB-PPP-european-FCN1:O00602:OID30690:v1,ukb-wes-az-00012035,UKB-PPP european FCN1,FCN1 O00602 OID30690 v1 InflammationII
protein,UKB-PPP-european-PAEP:P09466:OID20925:v1,ukb-wes-az-00013089,UKB-PPP european PAEP,PAEP P09466 OID20925 v1 Neurology
protein,UKB-PPP-european-CAMSAP1:Q5T5Y3:OID31070:v1,ukb-wes-az-00014232,UKB-PPP european CAMSAP1,CAMSAP1 Q5T5Y3 OID31070 v1 NeurologyII
protein,UKB-PPP-european-UBAC1:Q9BSL1:OID21336:v1,ukb-wes-az-00014045,UKB-PPP european UBAC1,UBAC1 Q9BSL1 OID21336 v1 Oncology
protein,UKB-PPP-european-DNLZ:Q5SXM8:OID30822:v1,ukb-wes-az-00014773,UKB-PPP european DNLZ,DNLZ Q5SXM8 OID30822 v1 NeurologyII
protein,UKB-PPP-european-ENTR1:Q96C92:OID30231:v1,ukb-wes-az-00014887,UKB-PPP european ENTR1,ENTR1 Q96C92 OID30231 v1 CardiometabolicII
protein,UKB-PPP-european-NOTCH1:P46531:OID20311:v1,ukb-wes-az-00013001,UKB-PPP european NOTCH1,NOTCH1 P46531 OID20311 v1 Cardiometabolic
protein,UKB-PPP-european-EGFL7:Q9UHF1:OID21252:v1,ukb-wes-az-00014845,UKB-PPP european EGFL7,EGFL7 Q9UHF1 OID21252 v1 Oncology
protein,UKB-PPP-european-LCN15:Q6UWW0:OID31032:v1,ukb-wes-az-00012644,UKB-PPP european LCN15,LCN15 Q6UWW0 OID31032 v1 NeurologyII
protein,UKB-PPP-european-MAMDC4:Q6UXC1:OID31342:v1,ukb-wes-az-00012753,UKB-PPP european MAMDC4,MAMDC4 Q6UXC1 OID31342 v1 OncologyII
protein,UKB-PPP-european-EDF1:O60869:OID31010:v1,ukb-wes-az-00014829,UKB-PPP european EDF1,EDF1 O60869 OID31010 v1 NeurologyII
protein,UKB-PPP-european-TRAF2:Q12933:OID20507:v1,ukb-wes-az-00013996,UKB-PPP european TRAF2,TRAF2 Q12933 OID20507 v1 Inflammation
protein,UKB-PPP-european-PTGDS:P41222:OID20408:v1,ukb-wes-az-00013338,UKB-PPP european PTGDS,PTGDS P41222 OID20408 v1 Cardiometabolic
protein,UKB-PPP-european-PAXX:Q9BUH6:OID30591:v1,ukb-wes-az-00013107,UKB-PPP european PAXX,PAXX Q9BUH6 OID30591 v1 InflammationII
protein,UKB-PPP-european-ABCA2:Q9BZC7:OID30146:v1,ukb-wes-az-00014397,UKB-PPP european ABCA2,ABCA2 Q9BZC7 OID30146 v1 CardiometabolicII
protein,UKB-PPP-european-NPDC1:Q9NQX5:OID20205:v1,ukb-wes-az-00013005,UKB-PPP european NPDC1,NPDC1 Q9NQX5 OID20205 v1 Cardiometabolic
protein,UKB-PPP-european-ENTPD2:Q9Y5L3:OID21260:v1,ukb-wes-az-00014884,UKB-PPP european ENTPD2,ENTPD2 Q9Y5L3 OID21260 v1 Oncology
protein,UKB-PPP-european-DPP7:Q9UHL4:OID20142:v1,ukb-wes-az-00014790,UKB-PPP european DPP7,DPP7 Q9UHL4 OID20142 v1 Cardiometabolic
protein,UKB-PPP-european-SSNA1:O43805:OID31453:v1,ukb-wes-az-00013765,UKB-PPP european SSNA1,SSNA1 O43805 OID31453 v1 OncologyII
protein,UKB-PPP-european-SLC34A3:Q8N130:OID31203:v1,ukb-wes-az-00013664,UKB-PPP european SLC34A3,SLC34A3 Q8N130 OID31203 v1 OncologyII
protein,UKB-PPP-european-IDI2:Q9BXS1:OID20823:v1,ukb-wes-az-00012371,UKB-PPP european IDI2,IDI2 Q9BXS1 OID20823 v1 Neurology
protein,UKB-PPP-european-AKR1C4:P17516:OID20062:v1,ukb-wes-az-00014855,UKB-PPP european AKR1C4,AKR1C4 P17516 OID20062 v1 Cardiometabolic
protein,UKB-PPP-european-IL15RA:Q13261:OID20498:v1,ukb-wes-az-00012430,UKB-PPP european IL15RA,IL15RA Q13261 OID20498 v1 Inflammation
protein,UKB-PPP-european-IL2RA:P01589:OID20267:v1,ukb-wes-az-00012464,UKB-PPP european IL2RA,IL2RA P01589 OID20267 v1 Cardiometabolic
protein,UKB-PPP-european-RBM17:Q96I25:OID31034:v1,ukb-wes-az-00013412,UKB-PPP european RBM17,RBM17 Q96I25 OID31034 v1 NeurologyII
protein,UKB-PPP-european-PRKCQ:Q04759:OID20468:v1,ukb-wes-az-00013294,UKB-PPP european PRKCQ,PRKCQ Q04759 OID20468 v1 Inflammation
protein,UKB-PPP-european-ITIH5:Q86UX2:OID31430:v1,ukb-wes-az-00012539,UKB-PPP european ITIH5,ITIH5 Q86UX2 OID31430 v1 OncologyII
protein,UKB-PPP-european-GATA3:P23771:OID31219:v1,ukb-wes-az-00012152,UKB-PPP european GATA3,GATA3 P23771 OID31219 v1 OncologyII
protein,UKB-PPP-european-ECHDC3:Q96DC8:OID30293:v1,ukb-wes-az-00014819,UKB-PPP european ECHDC3,ECHDC3 Q96DC8 OID30293 v1 CardiometabolicII
protein,UKB-PPP-european-NUDT5:Q9UKK9:OID21115:v1,ukb-wes-az-00013048,UKB-PPP european NUDT5,NUDT5 Q9UKK9 OID21115 v1 Neurology
protein,UKB-PPP-european-CDC123:O75794:OID31242:v1,ukb-wes-az-00014371,UKB-PPP european CDC123,CDC123 O75794 OID31242 v1 OncologyII
protein,UKB-PPP-european-CDNF:Q49AH0:OID21318:v1,ukb-wes-az-00014400,UKB-PPP european CDNF,CDNF Q49AH0 OID21318 v1 Oncology
protein,UKB-PPP-european-DCLRE1C:Q96SD1:OID31240:v1,ukb-wes-az-00014701,UKB-PPP european DCLRE1C,DCLRE1C Q96SD1 OID31240 v1 OncologyII
protein,UKB-PPP-european-TRDMT1:O14717:OID31335:v1,ukb-wes-az-00013999,UKB-PPP european TRDMT1,TRDMT1 O14717 OID31335 v1 OncologyII
protein,UKB-PPP-european-VIM:P08670:OID20053:v1,ukb-wes-az-00014089,UKB-PPP european VIM,VIM P08670 OID20053 v1 Cardiometabolic
protein,UKB-PPP-european-STAM:Q92783:OID31425:v1,ukb-wes-az-00013772,UKB-PPP european STAM,STAM Q92783 OID31425 v1 OncologyII
protein,UKB-PPP-european-MRC1:P22897:OID30694:v1,ukb-wes-az-00012861,UKB-PPP european MRC1,MRC1 P22897 OID30694 v1 InflammationII
protein,UKB-PPP-european-PLXDC2:Q6UX71:OID31101:v1,ukb-wes-az-00013223,UKB-PPP european PLXDC2,PLXDC2 Q6UX71 OID31101 v1 NeurologyII
protein,UKB-PPP-european-PRTFDC1:Q9NRG1:OID20867:v1,ukb-wes-az-00013314,UKB-PPP european PRTFDC1,PRTFDC1 Q9NRG1 OID20867 v1 Neurology
protein,UKB-PPP-european-GPR158:Q5T848:OID31013:v1,ukb-wes-az-00012249,UKB-PPP european GPR158,GPR158 Q5T848 OID31013 v1 NeurologyII
protein,UKB-PPP-european-GAD2:Q05329:OID30449:v1,ukb-wes-az-00012133,UKB-PPP european GAD2,GAD2 Q05329 OID30449 v1 InflammationII
protein,UKB-PPP-european-APBB1IP:Q7Z5R6:OID21359:v1,ukb-wes-az-00012508,UKB-PPP european APBB1IP,APBB1IP Q7Z5R6 OID21359 v1 Oncology
protein,UKB-PPP-european-BAMBI:Q13145:OID21267:v1,ukb-wes-az-00013544,UKB-PPP european BAMBI,BAMBI Q13145 OID21267 v1 Oncology
protein,UKB-PPP-european-LYZL2:Q7Z4W2:OID31180:v1,ukb-wes-az-00012743,UKB-PPP european LYZL2,LYZL2 Q7Z4W2 OID31180 v1 OncologyII
protein,UKB-PPP-european-ITGB1:P05556:OID20376:v1,ukb-wes-az-00012527,UKB-PPP european ITGB1,ITGB1 P05556 OID20376 v1 Cardiometabolic
protein,UKB-PPP-european-NRP1:O14786:OID20390:v1,ukb-wes-az-00013024,UKB-PPP european NRP1,NRP1 O14786 OID20390 v1 Cardiometabolic
protein,UKB-PPP-european-PARD3:Q8TEW0:OID31301:v1,ukb-wes-az-00013104,UKB-PPP european PARD3,PARD3 Q8TEW0 OID31301 v1 OncologyII
protein,UKB-PPP-european-FZD8:Q9H461:OID30818:v1,ukb-wes-az-00012128,UKB-PPP european FZD8,FZD8 Q9H461 OID30818 v1 NeurologyII
protein,UKB-PPP-european-RET:P07949:OID21346:v1,ukb-wes-az-00013437,UKB-PPP european RET,RET P07949 OID21346 v1 Oncology
protein,UKB-PPP-european-CXCL12:P48061:OID20464:v1,ukb-wes-az-00014666,UKB-PPP european CXCL12,CXCL12 P48061 OID20464 v1 Inflammation
protein,UKB-PPP-european-GDF2:Q9UK05:OID20202:v1,ukb-wes-az-00012167,UKB-PPP european GDF2,GDF2 Q9UK05 OID20202 v1 Cardiometabolic
protein,UKB-PPP-european-MSMB:P08118:OID20275:v1,ukb-wes-az-00012872,UKB-PPP european MSMB,MSMB P08118 OID20275 v1 Cardiometabolic
protein,UKB-PPP-european-ASAH2:Q9NR71:OID20996:v1,ukb-wes-az-00013033,UKB-PPP european ASAH2,ASAH2 Q9NR71 OID20996 v1 Neurology
protein,UKB-PPP-european-PRKG1:Q13976:OID30621:v1,ukb-wes-az-00013296,UKB-PPP european PRKG1,PRKG1 Q13976 OID30621 v1 InflammationII
protein,UKB-PPP-european-DKK1:O94907:OID21066:v1,ukb-wes-az-00014748,UKB-PPP european DKK1,DKK1 O94907 OID21066 v1 Neurology
protein,UKB-PPP-european-MBL2:P11226:OID30759:v1,ukb-wes-az-00012783,UKB-PPP european MBL2,MBL2 P11226 OID30759 v1 InflammationII
protein,UKB-PPP-european-CDK1:P06493:OID31164:v1,ukb-wes-az-00014393,UKB-PPP european CDK1,CDK1 P06493 OID31164 v1 OncologyII
protein,UKB-PPP-european-RTKN2:Q8IZC4:OID30049:v1,ukb-wes-az-00013492,UKB-PPP european RTKN2,RTKN2 Q8IZC4 OID30049 v1 CardiometabolicII
protein,UKB-PPP-european-JMJD1C:Q15652:OID31172:v1,ukb-wes-az-00012550,UKB-PPP european JMJD1C,JMJD1C Q15652 OID31172 v1 OncologyII
protein,UKB-PPP-european-SIRT1:Q96EB6:OID30439:v1,ukb-wes-az-00013644,UKB-PPP european SIRT1,SIRT1 Q96EB6 OID30439 v1 InflammationII
protein,UKB-PPP-european-PBLD:P30039:OID20839:v1,ukb-wes-az-00013109,UKB-PPP european PBLD,PBLD P30039 OID20839 v1 Neurology
protein,UKB-PPP-european-KIFBP:Q96EK5:OID21320:v1,ukb-wes-az-00012573,UKB-PPP european KIFBP,KIFBP Q96EK5 OID21320 v1 Oncology
protein,UKB-PPP-european-TSPAN15:O95858:OID30095:v1,ukb-wes-az-00014021,UKB-PPP european TSPAN15,TSPAN15 O95858 OID30095 v1 CardiometabolicII
protein,UKB-PPP-european-PCBD1:P61457:OID30610:v1,ukb-wes-az-00013113,UKB-PPP european PCBD1,PCBD1 P61457 OID30610 v1 InflammationII
protein,UKB-PPP-european-CDH23:Q9H251:OID31074:v1,ukb-wes-az-00014384,UKB-PPP european CDH23,CDH23 Q9H251 OID31074 v1 NeurologyII
protein,UKB-PPP-european-VSIR:Q9H7M9:OID20131:v1,ukb-wes-az-00014104,UKB-PPP european VSIR,VSIR Q9H7M9 OID20131 v1 Cardiometabolic
protein,UKB-PPP-european-PSAP:P07602:OID30419:v1,ukb-wes-az-00013318,UKB-PPP european PSAP,PSAP P07602 OID30419 v1 CardiometabolicII
protein,UKB-PPP-european-DNAJC9:Q8WXX5:OID31472:v1,ukb-wes-az-00014771,UKB-PPP european DNAJC9,DNAJC9 Q8WXX5 OID31472 v1 OncologyII
protein,UKB-PPP-european-MRPS16:Q9Y3D3:OID30489:v1,ukb-wes-az-00012869,UKB-PPP european MRPS16,MRPS16 Q9Y3D3 OID30489 v1 InflammationII
protein,UKB-PPP-european-PLAU:P00749:OID21124:v1,ukb-wes-az-00013208,UKB-PPP european PLAU,PLAU P00749 OID21124 v1 Neurology
protein,UKB-PPP-european-DUSP29:Q68J44:OID30935:v1,ukb-wes-az-00014808,UKB-PPP european DUSP29,DUSP29 Q68J44 OID30935 v1 NeurologyII
protein,UKB-PPP-european-DUSP13:Q6B8I1:OID31394:v1,ukb-wes-az-00014807,UKB-PPP european DUSP13,DUSP13 Q6B8I1 OID31394 v1 OncologyII
protein,UKB-PPP-european-PPIF:P30405:OID30385:v1,ukb-wes-az-00013255,UKB-PPP european PPIF,PPIF P30405 OID30385 v1 CardiometabolicII
protein,UKB-PPP-european-SFTPA2:Q8IWL1:OID21218:v1,ukb-wes-az-00013613,UKB-PPP european SFTPA2,SFTPA2 Q8IWL1 OID21218 v1 Oncology
protein,UKB-PPP-european-SFTPA1:Q8IWL2:OID21165:v1,ukb-wes-az-00013612,UKB-PPP european SFTPA1,SFTPA1 Q8IWL2 OID21165 v1 Oncology
protein,UKB-PPP-european-SFTPD:P35247:OID20214:v1,ukb-wes-az-00013615,UKB-PPP european SFTPD,SFTPD P35247 OID20214 v1 Cardiometabolic
protein,UKB-PPP-european-ANXA11:P50995:OID20583:v1,ukb-wes-az-00012383,UKB-PPP european ANXA11,ANXA11 P50995 OID20583 v1 Inflammation
protein,UKB-PPP-european-GPR15L:Q6UWK7:OID31511:v1,,UKB-PPP european C10orf99,
protein,UKB-PPP-european-CDHR1:Q96JP9:OID20808:v1,ukb-wes-az-00014390,UKB-PPP european CDHR1,CDHR1 Q96JP9 OID20808 v1 Neurology
protein,UKB-PPP-european-SNCG:O76070:OID20971:v1,ukb-wes-az-00013705,UKB-PPP european SNCG,SNCG O76070 OID20971 v1 Neurology
protein,UKB-PPP-european-PTEN:P60484:OID20794:v1,ukb-wes-az-00013337,UKB-PPP european PTEN,PTEN P60484 OID20794 v1 Neurology
protein,UKB-PPP-european-LIPF:P07098:OID30266:v1,ukb-wes-az-00012681,UKB-PPP european LIPF,LIPF P07098 OID30266 v1 CardiometabolicII
protein,UKB-PPP-european-ACTA2:P62736:OID20079:v1,ukb-wes-az-00013692,UKB-PPP european ACTA2,ACTA2 P62736 OID20079 v1 Cardiometabolic
protein,UKB-PPP-european-FAS:P25445:OID20316:v1,ukb-wes-az-00012022,UKB-PPP european FAS,FAS P25445 OID20316 v1 Cardiometabolic
protein,UKB-PPP-european-IFIT3:O14879:OID31283:v1,ukb-wes-az-00012380,UKB-PPP european IFIT3,IFIT3 O14879 OID31283 v1 OncologyII
protein,UKB-PPP-european-IFIT1:P09914:OID31310:v1,ukb-wes-az-00012379,UKB-PPP european IFIT1,IFIT1 P09914 OID31310 v1 OncologyII
protein,UKB-PPP-european-KIF20B:Q96Q89:OID30816:v1,ukb-wes-az-00012571,UKB-PPP european KIF20B,KIF20B Q96Q89 OID30816 v1 NeurologyII
protein,UKB-PPP-european-FGFBP3:Q8TAT2:OID31108:v1,ukb-wes-az-00012067,UKB-PPP european FGFBP3,FGFBP3 Q8TAT2 OID31108 v1 NeurologyII
protein,UKB-PPP-european-HHEX:Q03014:OID31107:v1,ukb-wes-az-00012310,UKB-PPP european HHEX,HHEX Q03014 OID31107 v1 NeurologyII
protein,UKB-PPP-european-SORBS1:Q9BX66:OID30978:v1,ukb-wes-az-00013718,UKB-PPP european SORBS1,SORBS1 Q9BX66 OID30978 v1 NeurologyII
protein,UKB-PPP-european-TCTN3:Q6NUS6:OID30326:v1,ukb-wes-az-00013846,UKB-PPP european TCTN3,TCTN3 Q6NUS6 OID30326 v1 CardiometabolicII
protein,UKB-PPP-european-BLNK:Q8WV28:OID30541:v1,ukb-wes-az-00013858,UKB-PPP european BLNK,BLNK Q8WV28 OID30541 v1 InflammationII
protein,UKB-PPP-european-PIK3AP1:Q6ZUJ8:OID20587:v1,ukb-wes-az-00013188,UKB-PPP european PIK3AP1,PIK3AP1 Q6ZUJ8 OID20587 v1 Inflammation
protein,UKB-PPP-european-MORN4:Q8NDC4:OID31217:v1,ukb-wes-az-00012854,UKB-PPP european MORN4,MORN4 Q8NDC4 OID31217 v1 OncologyII
protein,UKB-PPP-european-CRTAC1:Q9NQ79:OID20279:v1,ukb-wes-az-00014603,UKB-PPP european CRTAC1,CRTAC1 Q9NQ79 OID20279 v1 Cardiometabolic
protein,UKB-PPP-european-GOT1:P17174:OID30417:v1,ukb-wes-az-00012230,UKB-PPP european GOT1,GOT1 P17174 OID30417 v1 CardiometabolicII
protein,UKB-PPP-european-DNMBP:Q6XZF7:OID20956:v1,ukb-wes-az-00014776,UKB-PPP european DNMBP,DNMBP Q6XZF7 OID20956 v1 Neurology
protein,UKB-PPP-european-BLOC1S2:Q6QNY1:OID30856:v1,ukb-wes-az-00013869,UKB-PPP european BLOC1S2,BLOC1S2 Q6QNY1 OID30856 v1 NeurologyII
protein,UKB-PPP-european-KAZALD1:Q96I82:OID21339:v1,ukb-wes-az-00012554,UKB-PPP european KAZALD1,KAZALD1 Q96I82 OID21339 v1 Oncology
protein,UKB-PPP-european-OGA:O60502:OID31465:v1,ukb-wes-az-00013059,UKB-PPP european OGA,OGA O60502 OID31465 v1 OncologyII
protein,UKB-PPP-european-NFKB2:Q00653:OID31258:v1,ukb-wes-az-00012971,UKB-PPP european NFKB2,NFKB2 Q00653 OID31258 v1 OncologyII
protein,UKB-PPP-european-SLK:Q9H2G2:OID31282:v1,ukb-wes-az-00013678,UKB-PPP european SLK,SLK Q9H2G2 OID31282 v1 OncologyII
protein,UKB-PPP-european-ITPRIP:Q8IWB1:OID30860:v1,ukb-wes-az-00012544,UKB-PPP european ITPRIP,ITPRIP Q8IWB1 OID30860 v1 NeurologyII
protein,UKB-PPP-european-SMNDC1:O75940:OID31471:v1,ukb-wes-az-00013688,UKB-PPP european SMNDC1,SMNDC1 O75940 OID31471 v1 OncologyII
protein,UKB-PPP-european-SMC3:Q9UQE7:OID31195:v1,ukb-wes-az-00013687,UKB-PPP european SMC3,SMC3 Q9UQE7 OID31195 v1 OncologyII
protein,UKB-PPP-european-ADRA2A:P08913:OID30067:v1,ukb-wes-az-00014552,UKB-PPP european ADRA2A,ADRA2A P08913 OID30067 v1 CardiometabolicII
protein,UKB-PPP-european-VTI1A:Q96AJ9:OID30640:v1,ukb-wes-az-00014112,UKB-PPP european VTI1A,VTI1A Q96AJ9 OID30640 v1 InflammationII
protein,UKB-PPP-european-CASP7:P55210:OID31135:v1,ukb-wes-az-00014245,UKB-PPP european CASP7,CASP7 P55210 OID31135 v1 NeurologyII
protein,UKB-PPP-european-FHIP2A:Q5W0V3:OID30187:v1,ukb-wes-az-00012074,UKB-PPP european FHIP2A,FHIP2A Q5W0V3 OID30187 v1 CardiometabolicII
protein,UKB-PPP-european-GFRA1:P56159:OID21457:v1,ukb-wes-az-00012174,UKB-PPP european GFRA1,GFRA1 P56159 OID21457 v1 Oncology
protein,UKB-PPP-european-PNLIP:P16233:OID30693:v1,ukb-wes-az-00013232,UKB-PPP european PNLIP,PNLIP P16233 OID30693 v1 InflammationII
