study_name,trait_name,category
ukb-d-C43,"Diagnoses - main ICD10: C43 Malignant melanoma of skin",health trait / disease outcome
ukb-d-C67,"Diagnoses - main ICD10: C67 Malignant neoplasm of bladder",health trait / disease outcome
ukb-d-C78,"Diagnoses - main ICD10: C78 Secondary malignant neoplasm of respiratory and digestive organs",health trait / disease outcome
ukb-d-C79,"Diagnoses - main ICD10: C79 Secondary malignant neoplasm of other sites",health trait / disease outcome
ukb-d-CARDIAC-ARRHYTM,"Cardiac arrhytmias, COPD co-morbidities",health trait / disease outcome
ukb-d-COLITNONINFNAS,"Noninfectious colitis NAS",health trait / disease outcome
ukb-d-COPD-EARLYANDLATER,"COPD, early/later onset",health trait / disease outcome
ukb-d-COPD-EXCL,"COPD differential diagnosis",health trait / disease outcome
ukb-d-COX-ARTHROSIS,"Coxarthrosis [arthrosis of hip](FG)",health trait / disease outcome
ukb-d-C-DIGESTIVE-ORGANS,"Cancer of digestive organs",health trait / disease outcome
ukb-d-C-FEMALE-GENITAL,"Cancer of female genital",health trait / disease outcome
ukb-d-C-LYMPHOMA,"Lymphomas",health trait / disease outcome
ukb-d-C-MALE-GENITAL,"Cancer of male genital",health trait / disease outcome
ukb-d-C-OTHER-SKIN,"Other malignant neoplasms of skin",health trait / disease outcome
ukb-d-C-PRIMARY-LYMPHOID-HEMATOPOIETIC,"Cancer of primary lymphoid hematopoietic",health trait / disease outcome
ukb-d-C-RECTUM,"Malignant neoplasm of rectum",health trait / disease outcome
ukb-d-C-RESPIRATORY-INTRATHORACIC,"Cancer of respiratory intrathoracic",health trait / disease outcome
ukb-d-C-SKIN,"Cancer of skin",health trait / disease outcome
ukb-d-C-STROKE,"STROKE",health trait / disease outcome
ukb-d-C-URINARY-TRACT,"Cancer of urinary tract",health trait / disease outcome
ukb-d-D05,"Diagnoses - main ICD10: D05 Carcinoma in situ of breast",health trait / disease outcome
ukb-d-D12,"Diagnoses - main ICD10: D12 Benign neoplasm of colon, rectum, anus and anal canal",health trait / disease outcome
ukb-d-D17,"Diagnoses - main ICD10: D17 Benign lipomatous neoplasm",health trait / disease outcome
ukb-d-D22,"Diagnoses - main ICD10: D22 Melanocytic naevi",health trait / disease outcome
ukb-d-D23,"Diagnoses - main ICD10: D23 Other benign neoplasms of skin",health trait / disease outcome
ukb-d-D3-ANAEMIANAS,"Other and unspecified anaemias",health trait / disease outcome
ukb-d-D3-ANAEMIA-IRONDEF,"Iron deficiency anaemia",health trait / disease outcome
ukb-d-D3-OTHERANAEMIA,"Other anaemias",health trait / disease outcome
ukb-d-D50,"Diagnoses - main ICD10: D50 Iron deficiency anaemia",health trait / disease outcome
ukb-d-D64,"Diagnoses - main ICD10: D64 Other anaemias",health trait / disease outcome
ukb-d-F5-MOOD,"Mood [affective] disorders",health trait / disease outcome
ukb-d-FIBRO-COMORB,"Fibromyalgia related co-morbidities",health trait / disease outcome
ukb-d-G43,"Diagnoses - main ICD10: G43 Migraine",health trait / disease outcome
ukb-d-G45,"Diagnoses - main ICD10: G45 Transient cerebral ischaemic attacks and related syndromes",health trait / disease outcome
ukb-d-G57,"Diagnoses - main ICD10: G57 Mononeuropathies of lower limb",health trait / disease outcome
ukb-d-G6-EPIPAROX,"Episodal and paroxysmal disorders",health trait / disease outcome
ukb-d-G6-NERPLEX,"Nerve, nerve root and plexus disorders",health trait / disease outcome
ukb-d-G6-SLEEPAPNO,"Sleep apnoea",health trait / disease outcome
ukb-d-H00,"Diagnoses - main ICD10: H00 Hordeolum and chalazion",health trait / disease outcome
ukb-d-H02,"Diagnoses - main ICD10: H02 Other disorders of eyelid",health trait / disease outcome
ukb-d-H04,"Diagnoses - main ICD10: H04 Disorders of lachrymal system",health trait / disease outcome
ukb-d-H33,"Diagnoses - main ICD10: H33 Retinal detachments and breaks",health trait / disease outcome
ukb-d-H35,"Diagnoses - main ICD10: H35 Other retinal disorders",health trait / disease outcome
ukb-d-H40,"Diagnoses - main ICD10: H40 Glaucoma",health trait / disease outcome
ukb-d-H7-CHALAZION,"Chalazion",health trait / disease outcome
ukb-d-H7-EYELIDDIS,"Other disorders of eyelid",health trait / disease outcome
ukb-d-H7-EYELIDNAS,"Other specified and unspecified  disorders of eyelid",health trait / disease outcome
ukb-d-H7-LACRIMALSYSTEM,"Disorders of lacrimal system",health trait / disease outcome
ukb-d-H7-LENS,"Disorders of lens",health trait / disease outcome
ukb-d-H7-MACULADEGEN,"Degeneration of macula and posterior pole",health trait / disease outcome
ukb-d-H7-RETINALDETACH,"Retinal detachments and breaks",health trait / disease outcome
ukb-d-H7-RETINALDETACHBREAK,"Retinal detachment with retinal break",health trait / disease outcome
ukb-d-H7-RETINALDISOTH,"Other retinal disorders",health trait / disease outcome
ukb-d-I26,"Diagnoses - main ICD10: I26 Pulmonary embolism",health trait / disease outcome
ukb-d-I47,"Diagnoses - main ICD10: I47 Paroxysmal tachycardia",health trait / disease outcome
ukb-d-I50,"Diagnoses - main ICD10: I50 Heart failure",health trait / disease outcome
ukb-d-I63,"Diagnoses - main ICD10: I63 Cerebral infarction",health trait / disease outcome
ukb-d-I9-ARTOTH,"Other diseases of arteries and capillaries",health trait / disease outcome
ukb-d-I9-CHD,"Major coronary heart disease event",health trait / disease outcome
ukb-d-I9-CHD-NOREV,"Major coronary heart disease event excluding revascularizations",health trait / disease outcome
ukb-d-I9-CONDUCTIO,"Conduction disorders",health trait / disease outcome
ukb-d-I9-CORATHER,"Coronary atherosclerosis",health trait / disease outcome
ukb-d-I9-DISVEINLYMPH,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",health trait / disease outcome
ukb-d-I9-DVTANDPULM,"DVT of lower extremities and pulmonary embolism",health trait / disease outcome
ukb-d-I9-HEARTFAIL,"Heart failure,strict",health trait / disease outcome
ukb-d-I9-HEARTFAIL-NS,"Heart failure, not strict",health trait / disease outcome
ukb-d-I9-HYPERTENSION,"Hypertensive diseases",health trait / disease outcome
ukb-d-I9-HYPTENS,"Hypertension",health trait / disease outcome
ukb-d-I9-IHD,"Ischaemic heart disease, wide definition",health trait / disease outcome
ukb-d-I9-INTRACRA,"Nontraumatic intracranial haemmorrhage",health trait / disease outcome
ukb-d-I9-K-CARDIAC,"Death due to cardiac causes",health trait / disease outcome
ukb-d-I9-MI-STRICT,"Myocardial infarction, strict",health trait / disease outcome
ukb-d-I9-NONRHEVALV,"Non-rheumatic valve diseases",health trait / disease outcome
ukb-d-I9-PHLETHROMBDVTLOW,"DVT of lower extremities",health trait / disease outcome
ukb-d-I9-STR,"Stroke, excluding SAH",health trait / disease outcome
ukb-d-I9-STR-EXH,"Ischaemic Stroke, excluding all haemorrhages",health trait / disease outcome
ukb-d-I9-STR-SAH,"Stroke, including SAH",health trait / disease outcome
ukb-d-I9-VTE,"Venous thromboembolism",health trait / disease outcome
ukb-d-IBD-ENDOMETRIOSIS,"Endometriosis, IBD co-morbidity",health trait / disease outcome
ukb-d-ICDMAIN-ANY-ENTRY,"Any ICDMAIN event in hilmo or causes of death",health trait / disease outcome
ukb-d-III-BLOOD-IMMUN,"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism",health trait / disease outcome
ukb-d-II-NEOPLASM,"Neoplasms",health trait / disease outcome
ukb-d-ILD-DIFF-DG,"ILD differential diagnosis",health trait / disease outcome
ukb-d-IV-ENDOCRIN-NUTRIT,"Endocrine, nutritional and metabolic diseases",health trait / disease outcome
ukb-d-IX-CIRCULATORY,"Diseases of the circulatory system",health trait / disease outcome
ukb-d-I-INFECT-PARASIT,"Certain infectious and parasitic diseases",health trait / disease outcome
ukb-d-J18,"Diagnoses - main ICD10: J18 Pneumonia, organism unspecified",health trait / disease outcome
ukb-d-J32,"Diagnoses - main ICD10: J32 Chronic sinusitis",health trait / disease outcome
ukb-d-J38,"Diagnoses - main ICD10: J38 Diseases of vocal cords and larynx, not elsewhere classified",health trait / disease outcome
ukb-d-J45,"Diagnoses - main ICD10: J45 Asthma",health trait / disease outcome
ukb-d-K01,"Diagnoses - main ICD10: K01 Embedded and impacted teeth",health trait / disease outcome
ukb-d-K02,"Diagnoses - main ICD10: K02 Dental caries",health trait / disease outcome
ukb-d-K04,"Diagnoses - main ICD10: K04 Diseases of pulp and periapical tissues",health trait / disease outcome
ukb-d-K08,"Diagnoses - main ICD10: K08 Other disorders of teeth and supporting structures",health trait / disease outcome
ukb-d-K11-APPENDIX,"Diseases of appendix",health trait / disease outcome
ukb-d-K11-BARRET,"Barret oesophagus",health trait / disease outcome
ukb-d-K11-GALLBILPANC,"Disorders of gallbladder, biliary tract and pancreas",health trait / disease outcome
ukb-d-K11-GASTRODUOULC,"Gastroduodenal ulcer",health trait / disease outcome
ukb-d-K11-GIBLEEDING,"GI-bleeding",health trait / disease outcome
ukb-d-K11-HERNIA,"Hernia",health trait / disease outcome
ukb-d-K11-ILEUS,"Paralytic ileus and intestinal obstruction",health trait / disease outcome
ukb-d-K11-LIVER,"Diseases of liver",health trait / disease outcome
ukb-d-K11-OESULC,"Ulcer of oesophagus",health trait / disease outcome
ukb-d-K11-OTHDIG,"Other diseases of the digestive system",health trait / disease outcome
ukb-d-K11-OTHDISOES,"Other diseases of oesophagus",health trait / disease outcome
ukb-d-K11-OTHGASTR,"Other gastritis (incl. Duodenitis)",health trait / disease outcome
ukb-d-K11-OTHILEUS,"Other or unspecified ileus, impaction or obstruction",health trait / disease outcome
ukb-d-K13,"Diagnoses - main ICD10: K13 Other diseases of lip and oral mucosa",health trait / disease outcome
ukb-d-K25,"Diagnoses - main ICD10: K25 Gastric ulcer",health trait / disease outcome
ukb-d-K26,"Diagnoses - main ICD10: K26 Duodenal ulcer",health trait / disease outcome
ukb-d-K31,"Diagnoses - main ICD10: K31 Other diseases of stomach and duodenum",health trait / disease outcome
ukb-d-K42,"Diagnoses - main ICD10: K42 Umbilical hernia",health trait / disease outcome
ukb-d-K56,"Diagnoses - main ICD10: K56 Paralytic ileus and intestinal obstruction without hernia",health trait / disease outcome
ukb-d-K58,"Diagnoses - main ICD10: K58 Irritable bowel syndrome",health trait / disease outcome
ukb-d-K59,"Diagnoses - main ICD10: K59 Other functional intestinal disorders",health trait / disease outcome
ukb-d-K61,"Diagnoses - main ICD10: K61 Abscess of anal and rectal regions",health trait / disease outcome
ukb-d-K63,"Diagnoses - main ICD10: K63 Other diseases of intestine",health trait / disease outcome
ukb-d-K81,"Diagnoses - main ICD10: K81 Cholecystitis",health trait / disease outcome
ukb-d-K92,"Diagnoses - main ICD10: K92 Other diseases of digestive system",health trait / disease outcome
ukb-d-KNEE-ARTHROSIS,"Gonarthrosis [arthrosis of knee](FG)",health trait / disease outcome
ukb-d-KRA-PSY-ANXIETY,"Anxiety disorders",health trait / disease outcome
ukb-d-KRA-PSY-ANYMENTAL,"Any mental disorder",health trait / disease outcome
ukb-d-KRA-PSY-MOOD,"Mood disorders",health trait / disease outcome
ukb-d-L02,"Diagnoses - main ICD10: L02 Cutaneous abscess, furuncle and carbuncle",health trait / disease outcome
ukb-d-L12-ACTINKERA,"Actinic keratosis",health trait / disease outcome
ukb-d-L12-ATROPHICSKIN,"Atrophic disorders of skin",health trait / disease outcome
ukb-d-S62,"Diagnoses - main ICD10: S62 Fracture at wrist and hand level",health trait / disease outcome
ukb-d-S72,"Diagnoses - main ICD10: S72 Fracture of femur",health trait / disease outcome
ukb-d-S82,"Diagnoses - main ICD10: S82 Fracture of lower leg, including ankle",health trait / disease outcome
ukb-d-SLEEP,"Sleep disorders (combined)",health trait / disease outcome
ukb-d-STILL-ADULT,"Adult-onset Still disease",health trait / disease outcome
ukb-d-T39,"Diagnoses - main ICD10: T39 Poisoning by nonopioid analgesics, antipyretics and antirheumatics",health trait / disease outcome
ukb-d-T81,"Diagnoses - main ICD10: T81 Complications of procedures, not elsewhere classified",operation / treatment
ukb-d-T82,"Diagnoses - main ICD10: T82 Complications of cardiac and vascular prosthetic devices, implants and grafts",operation / treatment
ukb-d-T84,"Diagnoses - main ICD10: T84 Complications of internal orthopaedic prosthetic devices, implants and grafts",operation / treatment
ukb-d-T85,"Diagnoses - main ICD10: T85 Complications of other internal prosthetic devices, implants and grafts",operation / treatment
ukb-d-ULCERNAS,"Ulcerative colitis, NAS",health trait / disease outcome
ukb-d-VIII-EAR-MASTOID,"Diseases of the ear and mastoid process",health trait / disease outcome
ukb-d-VII-EYE-ADNEXA,"Diseases of the eye and adnexa",health trait / disease outcome
ukb-d-VI-NERVOUS,"Diseases of the nervous system",health trait / disease outcome
ukb-d-V-MENTAL-BEHAV,"Mental and behavioural disorders",health trait / disease outcome
ukb-d-XIII-MUSCULOSKELET,"Diseases of the musculoskeletal system and connective tissue",health trait / disease outcome
ukb-d-XII-SKIN-SUBCUTAN,"Diseases of the skin and subcutaneous tissue",health trait / disease outcome
ukb-d-XIV-GENITOURINARY,"Diseases of the genitourinary system",health trait / disease outcome
ukb-d-XIX-INJURY-POISON,"Injury, poisoning and certain other consequences of external causes",health trait / disease outcome
ukb-d-XI-DIGESTIVE,"Diseases of the digestive system",health trait / disease outcome
ukb-d-XVIII-MISCFINDINGS,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",clinical measures
ukb-d-XVII-MALFORMAT-ABNORMAL,"Congenital malformations, deformations and chromosomal abnormalities",health trait / disease outcome
ukb-d-XV-PREGNANCY-BIRTH,"Pregnancy, childbirth and the puerperium",health trait / disease outcome
ukb-d-XXI-HEALTHFACTORS,"Factors influencing health status and contact with health services",clinical measures
ukb-d-X-RESPIRATORY,"Diseases of the respiratory system",health trait / disease outcome
ukb-d-Z01,"Diagnoses - main ICD10: Z01 Other special examinations and investigations of persons without complaint or reported diagnosis",clinical measures
ukb-d-Z03,"Diagnoses - main ICD10: Z03 Medical observation and evaluation for suspected diseases and conditions",clinical measures
ukb-d-Z08,"Diagnoses - main ICD10: Z08 Follow-up examination after treatment for malignant neoplasm",clinical measures
ukb-d-Z12,"Diagnoses - main ICD10: Z12 Special screening examination for neoplasms",clinical measures
ukb-d-Z13,"Diagnoses - main ICD10: Z13 Special screening examination for other diseases and disorders",clinical measures
ukb-d-Z30,"Diagnoses - main ICD10: Z30 Contraceptive management",operation / treatment
ukb-d-Z42,"Diagnoses - main ICD10: Z42 Follow-up care involving plastic surgery",operation / treatment
ukb-d-Z43,"Diagnoses - main ICD10: Z43 Attention to artificial openings",operation / treatment
ukb-d-Z45,"Diagnoses - main ICD10: Z45 Adjustment and management of implanted device",operation / treatment
ukb-d-Z46,"Diagnoses - main ICD10: Z46 Fitting and adjustment of other devices",operation / treatment
ukb-d-Z53,"Diagnoses - main ICD10: Z53 Persons encountering health services for specifie procedures, not carried out",operation / treatment
ukb-d-age,"Age at recruitment",anthropometric
ukb-d-is-female,"Genetic sex",physiological
ebi-a-GCST90026103,"5-methylcytidine levels",clinical measures
ebi-a-GCST90026104,"5-methylthioadenosine (mta) levels",clinical measures
ebi-a-GCST90026105,"5-methyluridine (ribothymidine) levels",clinical measures
ebi-a-GCST90026106,"6-oxopiperidine-2-carboxylate levels",clinical measures
ebi-a-GCST90026107,"7-alpha-hydroxy-3-oxo-4-cholestenoate (7-hoca) levels",clinical measures
ebi-a-GCST90026108,"7-methylguanine levels",clinical measures
ebi-a-GCST90026109,"7-methylxanthine levels",clinical measures
ebi-a-GCST90026110,"Acetylcarnitine (c2) levels",clinical measures
ebi-a-GCST90026111,"Acisoga levels",clinical measures
ebi-a-GCST90026112,"Adenine levels",clinical measures
ebi-a-GCST90026113,"Adenosine 3',5'-cyclic monophosphate (camp) levels",clinical measures
ebi-a-GCST90026115,"Alpha-hydroxyisocaproate levels",clinical measures
ebi-a-GCST90026116,"Alpha-hydroxyisovalerate levels",clinical measures
ebi-a-GCST90026117,"Alpha-ketoglutaramate levels",clinical measures
ebi-a-GCST90026118,"Alpha-tocopherol levels",clinical measures
ebi-a-GCST90026119,"Arabinose levels",clinical measures
ebi-a-GCST90026120,"Arabitol/xylitol levels",clinical measures
ebi-a-GCST90026121,"Arabonate/xylonate levels",clinical measures
ebi-a-GCST90026122,"Arachidonate (20:4n6) levels",clinical measures
ebi-a-GCST90026123,"Argininate levels",clinical measures
ebi-a-GCST90026124,"Arginine levels",clinical measures
ebi-a-GCST90026125,"Argininosuccinate levels",clinical measures
ebi-a-GCST90026126,"Ascorbate (vitamin c) levels",clinical measures
ebi-a-GCST90026127,"Behenoyl sphingomyelin (d18:1/22:0) levels",clinical measures
ebi-a-GCST90026128,"Benzoate levels",clinical measures
ebi-a-GCST90026129,"Beta-alanine levels",clinical measures
ebi-a-GCST90026130,"Beta-citrylglutamate levels",clinical measures
ebi-a-GCST90026131,"Beta-hydroxyisovalerate levels",clinical measures
ebi-a-GCST90026132,"Betaine levels",clinical measures
ebi-a-GCST90026133,"C-glycosyltryptophan levels",clinical measures
ebi-a-GCST90026134,"Caffeine levels",clinical measures
ebi-a-GCST90026135,"Carboxyethyl-gaba levels",clinical measures
ebi-a-GCST90026136,"Carnitine levels",clinical measures
ebi-a-GCST90026137,"Catechol sulfate levels",clinical measures
ebi-a-GCST90026138,"Choline levels",clinical measures
ebi-a-GCST90026139,"Choline phosphate levels",clinical measures
ebi-a-GCST90026140,"Citramalate levels",clinical measures
ebi-a-GCST90026142,"Cortisone levels",clinical measures
ebi-a-GCST90026143,"Creatine levels",clinical measures
ebi-a-GCST90026144,"Cys-gly, oxidized levels",clinical measures
ebi-a-GCST90026145,"Cysteine levels",clinical measures
ebi-a-GCST90026146,"Cysteinylglycine levels",clinical measures
ebi-a-GCST90026147,"Cysteinylglycine disulfide levels",clinical measures
ebi-a-GCST90026148,"Cytidine levels",clinical measures
ebi-a-GCST90026149,"Deoxycarnitine levels",clinical measures
ebi-a-GCST90026150,"Diglycerol levels",clinical measures
ebi-a-GCST90026151,"Dimethyl sulfone levels",clinical measures
ebi-a-GCST90026152,"Dimethylarginine (sdma + adma) levels",clinical measures
ebi-a-GCST90026153,"Dimethylmalonic acid levels",clinical measures
ebi-a-GCST90026154,"Dopamine 3-o-sulfate levels",clinical measures
ebi-a-GCST90091033,"Nonalcoholic fatty liver disease",health trait / disease outcome
ebi-a-GCST90091049,"Ascending aorta diameter",clinical measures
ebi-a-GCST90091247,"Circulating plasma alpha-Klotho levels",clinical measures
ebi-a-GCST90092803,"Acetate levels",clinical measures
ebi-a-GCST90092804,"Acetoacetate levels",clinical measures
ebi-a-GCST90092805,"Acetone levels",clinical measures
ebi-a-GCST90092806,"Alanine levels",clinical measures
ebi-a-GCST90092807,"Albumin levels",clinical measures
ebi-a-GCST90092810,"Ratio of apolipoprotein B to apolipoprotein A1 levels",clinical measures
ebi-a-GCST90092811,"3-Hydroxybutyrate levels",clinical measures
ebi-a-GCST90092812,"Total cholines levels",clinical measures
ebi-a-GCST90092813,"Citrate levels",clinical measures
ebi-a-GCST90092814,"Clinical LDL cholesterol levels",clinical measures
ebi-a-GCST90092816,"Docosahexaenoic acid levels",clinical measures
ebi-a-GCST90092817,"Ratio of docosahexaenoic acid to total fatty acid levels",clinical measures
ebi-a-GCST90092818,"Glutamine levels",clinical measures
ebi-a-GCST90092820,"Glycine levels",clinical measures
ebi-a-GCST90092821,"Glycoprotein acetyls levels",clinical measures
ebi-a-GCST90092823,"Cholesteryl ester levels in HDL",clinical measures
ebi-a-GCST90092824,"Free cholesterol levels in HDL",clinical measures
ebi-a-GCST90092825,"Total lipid levels in HDL",clinical measures
ebi-a-GCST90092826,"Concentration of HDL particles",clinical measures
ebi-a-GCST90092827,"Phospholipid levels in HDL",clinical measures
ebi-a-GCST90092828,"Average diameter for HDL particles",clinical measures
ebi-a-GCST90092829,"Triglyceride levels in HDL",clinical measures
ebi-a-GCST90092830,"Histidine levels",clinical measures
ebi-a-GCST90092831,"Cholesterol levels in IDL",clinical measures
ebi-a-GCST90092832,"Cholesterol to total lipids ratio in IDL",clinical measures
ebi-a-GCST90092833,"Cholesteryl ester levels in IDL",clinical measures
ebi-a-GCST90092834,"Cholesteryl esters to total lipids ratio in IDL",clinical measures
ebi-a-GCST90092835,"Free cholesterol levels in IDL",clinical measures
ebi-a-GCST90092836,"Free cholesterol to total lipids ratio in IDL",clinical measures
ebi-a-GCST90092837,"Total lipid levels in IDL",clinical measures
ebi-a-GCST90092838,"Concentration of IDL particles",clinical measures
ebi-a-GCST90092839,"Phospholipid levels in IDL",clinical measures
ebi-a-GCST90092840,"Phospholipids to total lipids ratio in IDL",clinical measures
ebi-a-GCST90092841,"Triglyceride levels in IDL",clinical measures
ebi-a-GCST90092842,"Triglycerides to total lipids ratio in IDL",clinical measures
ebi-a-GCST90092843,"Isoleucine levels",clinical measures
ebi-a-GCST90092844,"Cholesterol levels in large HDL",clinical measures
ebi-a-GCST90092845,"Cholesterol to total lipids ratio in large HDL",clinical measures
ebi-a-GCST90092846,"Cholesteryl ester levels in large HDL",clinical measures
ebi-a-GCST90092847,"Cholesteryl esters to total lipids ratio in large HDL",clinical measures
ebi-a-GCST90092848,"Free cholesterol levels in large HDL",clinical measures
ebi-a-GCST90092849,"Free cholesterol to total lipids ratio in large HDL",clinical measures
ebi-a-GCST90092850,"Total lipid levels in large HDL",clinical measures
ebi-a-GCST90092851,"Concentration of large HDL particles",clinical measures
ebi-a-GCST90092852,"Phospholipid levels in large HDL",clinical measures
ebi-a-GCST90092853,"Phospholipids to total lipids ratio in large HDL",clinical measures
ebi-a-GCST90092854,"Triglyceride levels in large HDL",clinical measures
ebi-a-GCST90093328,"Neutralising antibody response to interferon beta therapy in multiple sclerosis (presence of antibodies; IFNβ-1a intramuscular)",clinical measures
ebi-a-GCST90093329,"Neutralising antibody response to interferon beta therapy in multiple sclerosis (presence of antibodies; IFNβ-1a subcutaneous and intramuscular)",clinical measures
ebi-a-GCST90093330,"Neutralising antibody response to interferon beta therapy in multiple sclerosis (presence of antibodies; IFNβ-1b subcutaneous)",clinical measures
ebi-a-GCST90093331,"Neutralising antibody response to interferon beta therapy in multiple sclerosis (presence of antibodies; all treatment preparations)",clinical measures
ebi-a-GCST90093332,"Neutralising antibody response to interferon beta therapy in multiple sclerosis (antibody titre; IFNβ-1a subcutaneous)",clinical measures
ebi-a-GCST90093333,"Neutralising antibody response to interferon beta therapy in multiple sclerosis (antibody titre; IFNβ-1a intramuscular)",clinical measures
ebi-a-GCST90093334,"Neutralising antibody response to interferon beta therapy in multiple sclerosis (antibody titre; IFNβ-1a subcutaneous and intramuscular)",clinical measures
ebi-a-GCST90093335,"Neutralising antibody response to interferon beta therapy in multiple sclerosis (antibody titre; IFNβ-1b subcutaneous)",clinical measures
ebi-a-GCST90093336,"Neutralising antibody response to interferon beta therapy in multiple sclerosis (antibody titre; all treatment preparations)",clinical measures
ebi-a-GCST90093337,"Binding antibody response to interferon beta therapy in multiple sclerosis (antibody levels; IFNβ-1a subcutaneous)",clinical measures
ebi-a-GCST90093338,"Binding antibody response to interferon beta therapy in multiple sclerosis (antibody levels; IFNβ-1a intramuscular)",clinical measures
ebi-a-GCST90093339,"Binding antibody response to interferon beta therapy in multiple sclerosis (antibody levels; IFNβ-1a subcutaneous and intramuscular)",clinical measures
ebi-a-GCST90093340,"Binding antibody response to interferon beta therapy in multiple sclerosis (antibody levels; IFNβ-1b subcutaneous)",clinical measures
ebi-a-GCST90093341,"Binding antibody response to interferon beta therapy in multiple sclerosis (antibody levels; all treatment preparations)",clinical measures
ebi-a-GCST90093342,"Neutralising antibody response to interferon beta therapy in multiple sclerosis in patients positive for neutralising antibodies (antibody titre; IFNβ-1a subcutaneous)",clinical measures
ebi-a-GCST90093343,"Neutralising antibody response to interferon beta therapy in multiple sclerosis in patients positive for neutralising antibodies (antibody titre; IFNβ-1a intramuscular)",clinical measures
ebi-a-GCST90093344,"Neutralising antibody response to interferon beta therapy in multiple sclerosis in patients positive for neutralising antibodies (antibody titre; IFNβ-1a subcutaneous and intramuscular)",clinical measures
ebi-a-GCST90093345,"Neutralising antibody response to interferon beta therapy in multiple sclerosis in patients positive for neutralising antibodies (antibody titre; IFNβ-1b subcutaneous)",clinical measures
ebi-a-GCST90093346,"Neutralising antibody response to interferon beta therapy in multiple sclerosis in patients positive for neutralising antibodies (antibody titre; all treatment preparations)",clinical measures
ebi-a-GCST90093378,"Dementia with Lewy bodies in APOE e4+ carriers",health trait / disease outcome
ebi-a-GCST90093465,"Early-onset myasthenia gravis",health trait / disease outcome
ebi-a-GCST90093466,"Late-onset myasthenia gravis",health trait / disease outcome
ebi-a-GCST90095138,"Circulating levels of total-tau",clinical measures
ebi-a-GCST90100568,"Corneal resistance factor",clinical measures
ebi-a-GCST90101831,"Spleen iron concentration",clinical measures
ebi-a-GCST90102615,"S100 calcium-binding protein levels",clinical measures
ebi-a-GCST90103634,"Estimated glomerular filtration rate (creatinine)",clinical measures
ebi-a-GCST90104003,"Familial combined hyperlipidemia defined by Brunzell criteria",health trait / disease outcome
ebi-a-GCST90104004,"Familial combined hyperlipidemia defined by Goldstein criteria",health trait / disease outcome
ebi-a-GCST90104005,"Familial combined hyperlipidemia defined by Dutch criteria",health trait / disease outcome
ebi-a-GCST90104006,"Familial combined hyperlipidemia defined by Consensus criteria",health trait / disease outcome
ebi-a-GCST90104007,"Familial combined hyperlipidemia defined by Mexico criteria",health trait / disease outcome
ebi-a-GCST000760,"Cholesterol, total",clinical measures
ebi-a-GCST001475,"Obesity",health trait / disease outcome
ebi-a-GCST001790,"Gout",health trait / disease outcome
ebi-a-GCST002245,"Alzheimer's disease (late onset)",health trait / disease outcome
ebi-a-GCST003367,"circulating leptin levels",clinical measures
ebi-a-GCST003368,"circulating leptin levels adjusted for BMI",clinical measures
ebi-a-GCST003484,"Periodontal disease-related phenotype (Socransky)",health trait / disease outcome
ebi-a-GCST003658,"Modified Stumvoll Insulin Sensitivity Index (model adjusted for BMI)",clinical measures
ebi-a-GCST003659,"Modified Stumvoll Insulin Sensitivity Index (BMI interaction)",clinical measures
ebi-a-GCST003739,"Esophageal adenocarcinoma",health trait / disease outcome
ebi-a-GCST003740,"Barrett's esophagus  or Esophageal adenocarcinoma",health trait / disease outcome
ebi-a-GCST003766,"Subjective well-being",social / behavioural
ebi-a-GCST004074,"Intraocular pressure",clinical measures
ebi-a-GCST004075,"Vertical cup-disc ratio",clinical measures
ebi-a-GCST004076,"Optic disc area",clinical measures
ebi-a-GCST004137,"Optic cup area",clinical measures
ebi-a-GCST004420,"CTACK levels",clinical measures
ebi-a-GCST004423,"Macrophage Migration Inhibitory Factor levels",clinical measures
ebi-a-GCST004424,"TRAIL levels",clinical measures
ebi-a-GCST004425,"Tumor necrosis factor beta levels",clinical measures
ebi-a-GCST004426,"Tumor necrosis factor alpha levels",clinical measures
ebi-a-GCST004427,"Stromal-cell-derived factor 1 alpha levels",clinical measures
ebi-a-GCST004428,"Stem cell growth factor beta levels",clinical measures
ebi-a-GCST004430,"Interleukin-16 levels",clinical measures
ebi-a-GCST004431,"RANTES levels",clinical measures
ebi-a-GCST004432,"Platelet-derived growth factor BB levels",clinical measures
ebi-a-GCST004433,"Macrophage inflammatory protein 1b levels",clinical measures
ebi-a-GCST004434,"Macrophage inflammatory protein 1a levels",clinical measures
ebi-a-GCST004435,"Monokine induced by gamma interferon levels",clinical measures
ebi-a-GCST004436,"Macrophage colony stimulating factor levels",clinical measures
ebi-a-GCST004439,"Interleukin-12p70 levels",clinical measures
ebi-a-GCST004440,"Interferon gamma-induced protein 10 levels",clinical measures
ebi-a-GCST004442,"Interleukin-17 levels",clinical measures
ebi-a-GCST004443,"Interleukin-13 levels",clinical measures
ebi-a-GCST004444,"Interleukin-10 levels",clinical measures
ebi-a-GCST004448,"Interleukin-1-beta levels",clinical measures
ebi-a-GCST004450,"Interleukin-9 levels",clinical measures
ebi-a-GCST004451,"Interleukin-7 levels",clinical measures
